Item_ID,Item_name,Item_description,Item_type,Is_Show,Image_Path
단어,,,0= 셀수없어서 카운팅이됨1= 있다없다만 판별,,
string,string,string,int,Bool,
Item_repeat,반복 확인,반복을 확인하는 용도이다.,3,True,
Item_money,돈,돈(페이)이다.,2,False,
Item_cam,캠코더,녹화가 가능한 캠코더이다.,0,True,
Item_card,명함,정 가이드의 명함이다.,0,True,
Item_map,지도,빨간 줄이 그어진 지도이다.,0,True,
Item_repeat1,반복 확인,마법의 상점에서 반복을 확인하는 용도이다.,3,True,
Item_pp,종이와 펜,종이와 펜이다.,0,True,
Item_knife,칼,호신용 단검이다.,0,True,
Item_photo,사진,빨간 모자와 한 여자가 같이 찍은 사진이다.,0,True,
Item_book,책,여자에게 받은 책이다.,0,True,
Item_rec,녹화본,빨간 모자를 녹화한 녹화본이다.,0,True,
Item_modulator,변조기,빨간 모자 집에서 찾은 변조기이다.,0,True,
Item_sign,사인,빨간 모자의 사인이다.,0,True,
Item_wolfstamp,늑대마을 도장 문서,늑대마을 장에게 받은 도장 문서이다.,0,True,
Item_postit,포스트,우체통에 붙어 있던 포스트잇이다.,0,True,
Item_paper,소문의 종이,소문의 종이이다.,0,True,
